"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView. Data from clinical laboratories include the weekly total number of specimens tested, the number of positive influenza test, and the percent positive by influenza type."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
States,Nevada,2018,42,18,0,0,0,0,0
States,New Hampshire,2018,42,X,X,X,X,X,X
States,New Jersey,2018,42,X,X,X,X,X,X
States,New Mexico,2018,42,262,0,0,0,0,0
States,New York,2018,42,2068,7,0,0.34,0.34,0
States,North Carolina,2018,42,346,4,1,1.45,1.16,0.29
States,North Dakota,2018,42,116,1,0,0.86,0.86,0
States,Ohio,2018,42,1629,3,4,0.43,0.18,0.25
States,Oklahoma,2018,42,265,0,0,0,0,0
States,Oregon,2018,42,291,3,0,1.03,1.03,0
States,Pennsylvania,2018,42,268,1,0,0.37,0.37,0
States,Rhode Island,2018,42,X,X,X,X,X,X
States,South Carolina,2018,42,282,2,0,0.71,0.71,0
States,South Dakota,2018,42,98,0,0,0,0,0
States,Tennessee,2018,42,120,0,1,0.83,0,0.83
States,Texas,2018,42,1485,12,15,1.82,0.81,1.01
States,Utah,2018,42,399,0,0,0,0,0
States,Vermont,2018,42,81,0,0,0,0,0
States,Virginia,2018,42,284,1,0,0.35,0.35,0
States,Washington,2018,42,703,2,3,0.71,0.28,0.43
States,West Virginia,2018,42,444,1,2,0.68,0.23,0.45
States,Wisconsin,2018,42,870,2,0,0.23,0.23,0
States,Wyoming,2018,42,X,X,X,X,X,X
States,Alabama,2018,43,451,6,4,2.22,1.33,0.89
States,Alaska,2018,43,X,X,X,X,X,X
States,Arizona,2018,43,238,0,0,0,0,0
States,Arkansas,2018,43,146,2,0,1.37,1.37,0
States,California,2018,43,431,3,0,0.7,0.7,0
States,Colorado,2018,43,485,1,1,0.41,0.21,0.21
States,Connecticut,2018,43,483,2,2,0.83,0.41,0.41
States,Delaware,2018,43,192,4,0,2.08,2.08,0
States,Florida,2018,43,X,X,X,X,X,X
States,Georgia,2018,43,955,13,9,2.3,1.36,0.94
States,Hawaii,2018,43,124,1,0,0.81,0.81,0
States,Idaho,2018,43,43,0,0,0,0,0
States,Illinois,2018,43,250,0,2,0.8,0,0.8
States,Indiana,2018,43,206,1,0,0.49,0.49,0
States,Iowa,2018,43,268,1,0,0.37,0.37,0
States,Kansas,2018,43,73,0,0,0,0,0
States,Kentucky,2018,43,415,0,0,0,0,0
States,Louisiana,2018,43,380,6,3,2.37,1.58,0.79
States,Maine,2018,43,35,0,0,0,0,0
States,Maryland,2018,43,229,1,0,0.44,0.44,0
States,Massachusetts,2018,43,545,10,1,2.02,1.83,0.18
States,Michigan,2018,43,890,1,2,0.34,0.11,0.22
States,Minnesota,2018,43,364,1,0,0.27,0.27,0
States,Mississippi,2018,43,85,0,0,0,0,0
States,Missouri,2018,43,748,2,0,0.27,0.27,0
States,Montana,2018,43,119,0,0,0,0,0
States,Nebraska,2018,43,116,0,0,0,0,0
States,Nevada,2018,43,19,0,0,0,0,0
States,New Hampshire,2018,43,X,X,X,X,X,X
States,New Jersey,2018,43,X,X,X,X,X,X
States,New Mexico,2018,43,138,0,0,0,0,0
States,New York,2018,43,2152,7,2,0.42,0.33,0.09
States,North Carolina,2018,43,364,0,1,0.27,0,0.27
States,North Dakota,2018,43,117,2,0,1.71,1.71,0
States,Ohio,2018,43,1640,10,3,0.79,0.61,0.18
States,Oklahoma,2018,43,263,1,0,0.38,0.38,0
States,Oregon,2018,43,339,3,1,1.18,0.88,0.29
States,Pennsylvania,2018,43,334,0,0,0,0,0
States,Rhode Island,2018,43,X,X,X,X,X,X
States,South Carolina,2018,43,337,0,0,0,0,0
States,South Dakota,2018,43,87,0,0,0,0,0
States,Tennessee,2018,43,110,0,2,1.82,0,1.82
States,Texas,2018,43,1633,12,11,1.41,0.73,0.67
States,Utah,2018,43,465,1,0,0.22,0.22,0
States,Vermont,2018,43,61,0,1,1.64,0,1.64
States,Virginia,2018,43,327,1,0,0.31,0.31,0
States,Washington,2018,43,696,3,2,0.72,0.43,0.29
States,West Virginia,2018,43,436,1,1,0.46,0.23,0.23
States,Wisconsin,2018,43,938,8,1,0.96,0.85,0.11
States,Wyoming,2018,43,X,X,X,X,X,X
States,Alabama,2018,44,535,5,1,1.12,0.93,0.19
States,Alaska,2018,44,X,X,X,X,X,X
States,Arizona,2018,44,240,2,1,1.25,0.83,0.42
States,Arkansas,2018,44,298,6,5,3.69,2.01,1.68
States,California,2018,44,549,11,1,2.19,2,0.18
States,Colorado,2018,44,498,1,0,0.2,0.2,0
States,Connecticut,2018,44,535,2,3,0.93,0.37,0.56
States,Delaware,2018,44,182,1,0,0.55,0.55,0
States,Florida,2018,44,X,X,X,X,X,X
States,Georgia,2018,44,1140,23,8,2.72,2.02,0.7
States,Hawaii,2018,44,99,0,1,1.01,0,1.01
States,Idaho,2018,44,33,0,0,0,0,0
States,Illinois,2018,44,253,4,1,1.98,1.58,0.4
States,Indiana,2018,44,209,1,0,0.48,0.48,0
States,Iowa,2018,44,240,0,0,0,0,0
States,Kansas,2018,44,86,0,0,0,0,0
States,Kentucky,2018,44,450,0,0,0,0,0
States,Louisiana,2018,44,359,2,1,0.84,0.56,0.28
States,Maine,2018,44,45,0,0,0,0,0
States,Maryland,2018,44,213,0,1,0.47,0,0.47
States,Massachusetts,2018,44,562,16,0,2.85,2.85,0
States,Michigan,2018,44,831,2,0,0.24,0.24,0
States,Minnesota,2018,44,311,1,0,0.32,0.32,0
States,Mississippi,2018,44,74,0,1,1.35,0,1.35
States,Missouri,2018,44,761,0,0,0,0,0
States,Montana,2018,44,115,0,1,0.87,0,0.87
States,Nebraska,2018,44,151,0,0,0,0,0
States,Nevada,2018,44,20,1,0,5,5,0
States,New Hampshire,2018,44,X,X,X,X,X,X
States,New Jersey,2018,44,X,X,X,X,X,X
States,New Mexico,2018,44,343,1,0,0.29,0.29,0
States,New York,2018,44,2043,8,1,0.44,0.39,0.05
States,North Carolina,2018,44,393,0,2,0.51,0,0.51
States,North Dakota,2018,44,119,6,2,6.72,5.04,1.68
States,Ohio,2018,44,1801,22,5,1.5,1.22,0.28
States,Oklahoma,2018,44,253,4,0,1.58,1.58,0
States,Oregon,2018,44,175,3,0,1.71,1.71,0
States,Pennsylvania,2018,44,362,0,0,0,0,0
States,Rhode Island,2018,44,X,X,X,X,X,X
States,South Carolina,2018,44,351,1,2,0.85,0.28,0.57
States,South Dakota,2018,44,90,0,0,0,0,0
States,Tennessee,2018,44,112,0,1,0.89,0,0.89
States,Texas,2018,44,1821,21,20,2.25,1.15,1.1
States,Utah,2018,44,488,1,1,0.41,0.2,0.2
States,Vermont,2018,44,92,0,1,1.09,0,1.09
States,Virginia,2018,44,312,0,0,0,0,0
States,Washington,2018,44,731,5,2,0.96,0.68,0.27
States,West Virginia,2018,44,520,1,0,0.19,0.19,0
States,Wisconsin,2018,44,1003,6,0,0.6,0.6,0
States,Wyoming,2018,44,X,X,X,X,X,X
States,Alabama,2018,45,583,6,3,1.54,1.03,0.51
States,Alaska,2018,45,X,X,X,X,X,X
States,Arizona,2018,45,261,2,2,1.53,0.77,0.77
States,Arkansas,2018,45,309,4,6,3.24,1.29,1.94
States,California,2018,45,601,12,0,2,2,0
States,Colorado,2018,45,507,2,0,0.39,0.39,0
States,Connecticut,2018,45,591,4,0,0.68,0.68,0
States,Delaware,2018,45,181,1,0,0.55,0.55,0
States,Florida,2018,45,X,X,X,X,X,X
States,Georgia,2018,45,1137,15,5,1.76,1.32,0.44
States,Hawaii,2018,45,88,0,0,0,0,0
States,Idaho,2018,45,44,0,0,0,0,0
States,Illinois,2018,45,292,1,0,0.34,0.34,0
States,Indiana,2018,45,223,1,0,0.45,0.45,0
States,Iowa,2018,45,234,0,0,0,0,0
States,Kansas,2018,45,81,1,0,1.23,1.23,0
States,Kentucky,2018,45,483,2,0,0.41,0.41,0
States,Louisiana,2018,45,397,5,0,1.26,1.26,0
States,Maine,2018,45,46,0,0,0,0,0
States,Maryland,2018,45,190,1,3,2.11,0.53,1.58
States,Massachusetts,2018,45,528,21,0,3.98,3.98,0
States,Michigan,2018,45,836,3,3,0.72,0.36,0.36
States,Minnesota,2018,45,378,4,0,1.06,1.06,0
States,Mississippi,2018,45,67,0,0,0,0,0
States,Missouri,2018,45,883,4,0,0.45,0.45,0
States,Montana,2018,45,119,1,0,0.84,0.84,0
States,Nebraska,2018,45,108,1,0,0.93,0.93,0
States,Nevada,2018,45,23,0,0,0,0,0
States,New Hampshire,2018,45,X,X,X,X,X,X
States,New Jersey,2018,45,X,X,X,X,X,X
States,New Mexico,2018,45,228,2,0,0.88,0.88,0
States,New York,2018,45,2106,15,1,0.76,0.71,0.05
States,North Carolina,2018,45,407,1,1,0.49,0.25,0.25
States,North Dakota,2018,45,145,3,0,2.07,2.07,0
States,Ohio,2018,45,1942,35,7,2.16,1.8,0.36
States,Oklahoma,2018,45,281,2,0,0.71,0.71,0
States,Oregon,2018,45,385,4,0,1.04,1.04,0
States,Pennsylvania,2018,45,372,2,0,0.54,0.54,0
States,Rhode Island,2018,45,X,X,X,X,X,X
States,South Carolina,2018,45,363,1,0,0.28,0.28,0
States,South Dakota,2018,45,106,2,0,1.89,1.89,0
States,Tennessee,2018,45,127,1,2,2.36,0.79,1.57
States,Texas,2018,45,2014,23,9,1.59,1.14,0.45
States,Utah,2018,45,478,4,1,1.05,0.84,0.21
States,Vermont,2018,45,68,0,0,0,0,0
States,Virginia,2018,45,364,0,1,0.27,0,0.27
States,Washington,2018,45,787,4,4,1.02,0.51,0.51
States,West Virginia,2018,45,513,0,0,0,0,0
States,Wisconsin,2018,45,893,5,0,0.56,0.56,0
States,Wyoming,2018,45,X,X,X,X,X,X
States,Alabama,2018,46,588,7,4,1.87,1.19,0.68
States,Alaska,2018,46,X,X,X,X,X,X
States,Arizona,2018,46,245,1,0,0.41,0.41,0
States,Arkansas,2018,46,222,3,2,2.25,1.35,0.9
States,California,2018,46,612,13,0,2.12,2.12,0
States,Colorado,2018,46,480,9,0,1.88,1.88,0
States,Connecticut,2018,46,490,3,1,0.82,0.61,0.2
States,Delaware,2018,46,194,3,0,1.55,1.55,0
States,Florida,2018,46,X,X,X,X,X,X
States,Georgia,2018,46,1274,50,9,4.63,3.92,0.71
States,Hawaii,2018,46,114,2,0,1.75,1.75,0
States,Idaho,2018,46,56,2,1,5.36,3.57,1.79
States,Illinois,2018,46,298,3,3,2.01,1.01,1.01
States,Indiana,2018,46,243,2,2,1.65,0.82,0.82
States,Iowa,2018,46,265,0,0,0,0,0
States,Kansas,2018,46,67,1,0,1.49,1.49,0
States,Kentucky,2018,46,546,3,0,0.55,0.55,0
States,Louisiana,2018,46,322,5,1,1.86,1.55,0.31
States,Maine,2018,46,55,0,0,0,0,0
States,Maryland,2018,46,172,1,0,0.58,0.58,0
States,Massachusetts,2018,46,575,10,0,1.74,1.74,0
States,Michigan,2018,46,951,7,2,0.95,0.74,0.21
States,Minnesota,2018,46,434,3,0,0.69,0.69,0
States,Mississippi,2018,46,62,0,0,0,0,0
States,Missouri,2018,46,997,21,0,2.11,2.11,0
States,Montana,2018,46,134,0,0,0,0,0
States,Nebraska,2018,46,131,1,0,0.76,0.76,0
States,Nevada,2018,46,24,2,0,8.33,8.33,0
States,New Hampshire,2018,46,X,X,X,X,X,X
States,New Jersey,2018,46,X,X,X,X,X,X
States,New Mexico,2018,46,341,1,0,0.29,0.29,0
States,New York,2018,46,2029,24,0,1.18,1.18,0
States,North Carolina,2018,46,426,2,1,0.7,0.47,0.23
States,North Dakota,2018,46,133,11,0,8.27,8.27,0
States,Ohio,2018,46,2081,62,5,3.22,2.98,0.24
States,Oklahoma,2018,46,327,6,1,2.14,1.83,0.31
States,Oregon,2018,46,383,6,1,1.83,1.57,0.26
States,Pennsylvania,2018,46,359,0,0,0,0,0
States,Rhode Island,2018,46,X,X,X,X,X,X
States,South Carolina,2018,46,356,3,1,1.12,0.84,0.28
States,South Dakota,2018,46,77,0,0,0,0,0
States,Tennessee,2018,46,106,0,2,1.89,0,1.89
States,Texas,2018,46,2136,22,18,1.87,1.03,0.84
States,Utah,2018,46,537,3,1,0.74,0.56,0.19
States,Vermont,2018,46,89,0,3,3.37,0,3.37
States,Virginia,2018,46,370,2,0,0.54,0.54,0
States,Washington,2018,46,748,5,2,0.94,0.67,0.27
States,West Virginia,2018,46,609,3,2,0.82,0.49,0.33
States,Wisconsin,2018,46,893,4,0,0.45,0.45,0
States,Wyoming,2018,46,X,X,X,X,X,X
States,Alabama,2018,47,520,7,1,1.54,1.35,0.19
States,Alaska,2018,47,X,X,X,X,X,X
States,Arizona,2018,47,231,1,0,0.43,0.43,0
States,Arkansas,2018,47,257,6,2,3.11,2.33,0.78
States,California,2018,47,647,35,1,5.56,5.41,0.15
States,Colorado,2018,47,496,11,0,2.22,2.22,0
States,Connecticut,2018,47,523,6,0,1.15,1.15,0
States,Delaware,2018,47,231,15,0,6.49,6.49,0
States,Florida,2018,47,X,X,X,X,X,X
States,Georgia,2018,47,1366,61,7,4.98,4.47,0.51
States,Hawaii,2018,47,96,1,0,1.04,1.04,0
States,Idaho,2018,47,74,1,0,1.35,1.35,0
States,Illinois,2018,47,237,4,1,2.11,1.69,0.42
States,Indiana,2018,47,255,6,0,2.35,2.35,0
States,Iowa,2018,47,239,2,0,0.84,0.84,0
States,Kansas,2018,47,57,0,0,0,0,0
States,Kentucky,2018,47,497,1,0,0.2,0.2,0
States,Louisiana,2018,47,360,10,1,3.06,2.78,0.28
States,Maine,2018,47,40,0,0,0,0,0
States,Maryland,2018,47,212,3,1,1.89,1.42,0.47
States,Massachusetts,2018,47,543,15,0,2.76,2.76,0
States,Michigan,2018,47,952,18,2,2.1,1.89,0.21
States,Minnesota,2018,47,366,1,0,0.27,0.27,0
States,Mississippi,2018,47,76,0,1,1.32,0,1.32
States,Missouri,2018,47,918,32,0,3.49,3.49,0
States,Montana,2018,47,120,0,0,0,0,0
States,Nebraska,2018,47,122,1,0,0.82,0.82,0
States,Nevada,2018,47,15,1,0,6.67,6.67,0
States,New Hampshire,2018,47,X,X,X,X,X,X
States,New Jersey,2018,47,X,X,X,X,X,X
States,New Mexico,2018,47,261,1,0,0.38,0.38,0
States,New York,2018,47,2056,30,4,1.65,1.46,0.19
States,North Carolina,2018,47,486,3,3,1.23,0.62,0.62
States,North Dakota,2018,47,166,7,0,4.22,4.22,0
States,Ohio,2018,47,1928,54,5,3.06,2.8,0.26
States,Oklahoma,2018,47,347,4,0,1.15,1.15,0
States,Oregon,2018,47,435,12,0,2.76,2.76,0
States,Pennsylvania,2018,47,377,3,0,0.8,0.8,0
States,Rhode Island,2018,47,X,X,X,X,X,X
States,South Carolina,2018,47,374,3,0,0.8,0.8,0
States,South Dakota,2018,47,82,0,0,0,0,0
States,Tennessee,2018,47,118,2,3,4.24,1.69,2.54
States,Texas,2018,47,2351,77,15,3.91,3.28,0.64
States,Utah,2018,47,507,7,3,1.97,1.38,0.59
States,Vermont,2018,47,99,1,0,1.01,1.01,0
States,Virginia,2018,47,338,1,0,0.3,0.3,0
States,Washington,2018,47,800,14,1,1.88,1.75,0.13
States,West Virginia,2018,47,550,4,0,0.73,0.73,0
States,Wisconsin,2018,47,987,4,0,0.41,0.41,0
States,Wyoming,2018,47,X,X,X,X,X,X
States,Alabama,2018,48,570,5,1,1.05,0.88,0.18
States,Alaska,2018,48,X,X,X,X,X,X
States,Arizona,2018,48,268,4,3,2.61,1.49,1.12
States,Arkansas,2018,48,266,2,1,1.13,0.75,0.38
States,California,2018,48,846,64,0,7.57,7.57,0
States,Colorado,2018,48,605,29,0,4.79,4.79,0
States,Connecticut,2018,48,602,6,1,1.16,1,0.17
States,Delaware,2018,48,252,9,0,3.57,3.57,0
States,Florida,2018,48,X,X,X,X,X,X
States,Georgia,2018,48,1452,84,14,6.75,5.79,0.96
States,Hawaii,2018,48,61,1,0,1.64,1.64,0
States,Idaho,2018,48,94,0,0,0,0,0
States,Illinois,2018,48,331,6,1,2.11,1.81,0.3
States,Indiana,2018,48,281,6,0,2.14,2.14,0
States,Iowa,2018,48,256,1,0,0.39,0.39,0
States,Kansas,2018,48,103,1,1,1.94,0.97,0.97
States,Kentucky,2018,48,559,4,0,0.72,0.72,0
States,Louisiana,2018,48,525,10,4,2.67,1.9,0.76
States,Maine,2018,48,46,1,0,2.17,2.17,0
States,Maryland,2018,48,244,3,1,1.64,1.23,0.41
States,Massachusetts,2018,48,724,27,2,4.01,3.73,0.28
States,Michigan,2018,48,1197,32,2,2.84,2.67,0.17
States,Minnesota,2018,48,287,1,0,0.35,0.35,0
States,Mississippi,2018,48,85,0,0,0,0,0
States,Missouri,2018,48,1131,28,0,2.48,2.48,0
States,Montana,2018,48,124,0,1,0.81,0,0.81
States,Nebraska,2018,48,150,0,0,0,0,0
States,Nevada,2018,48,22,0,0,0,0,0
States,New Hampshire,2018,48,X,X,X,X,X,X
States,New Jersey,2018,48,X,X,X,X,X,X
States,New Mexico,2018,48,356,6,0,1.69,1.69,0
States,New York,2018,48,2442,59,7,2.7,2.42,0.29
States,North Carolina,2018,48,474,12,0,2.53,2.53,0
States,North Dakota,2018,48,148,3,0,2.03,2.03,0
States,Ohio,2018,48,2321,73,3,3.27,3.15,0.13
States,Oklahoma,2018,48,319,4,0,1.25,1.25,0
States,Oregon,2018,48,526,5,1,1.14,0.95,0.19
States,Pennsylvania,2018,48,463,10,1,2.38,2.16,0.22
States,Rhode Island,2018,48,X,X,X,X,X,X
States,South Carolina,2018,48,452,4,0,0.88,0.88,0
States,South Dakota,2018,48,107,0,0,0,0,0
States,Tennessee,2018,48,145,4,2,4.14,2.76,1.38
States,Texas,2018,48,2703,64,20,3.11,2.37,0.74
States,Utah,2018,48,624,12,0,1.92,1.92,0
States,Vermont,2018,48,121,2,0,1.65,1.65,0
States,Virginia,2018,48,461,2,0,0.43,0.43,0
States,Washington,2018,48,890,15,1,1.8,1.69,0.11
States,West Virginia,2018,48,579,6,1,1.21,1.04,0.17
States,Wisconsin,2018,48,1082,8,0,0.74,0.74,0
States,Wyoming,2018,48,X,X,X,X,X,X
States,Alabama,2018,49,682,28,2,4.4,4.11,0.29
States,Alaska,2018,49,X,X,X,X,X,X
States,Arizona,2018,49,306,4,4,2.61,1.31,1.31
States,Arkansas,2018,49,251,2,1,1.2,0.8,0.4
States,California,2018,49,958,139,1,14.61,14.51,0.1
States,Colorado,2018,49,613,68,1,11.26,11.09,0.16
States,Connecticut,2018,49,635,18,1,2.99,2.83,0.16
States,Delaware,2018,49,253,25,1,10.28,9.88,0.4
States,Florida,2018,49,X,X,X,X,X,X
States,Georgia,2018,49,1501,150,10,10.66,9.99,0.67
States,Hawaii,2018,49,114,3,0,2.63,2.63,0
States,Idaho,2018,49,75,1,0,1.33,1.33,0
States,Illinois,2018,49,325,7,0,2.15,2.15,0
States,Indiana,2018,49,279,7,0,2.51,2.51,0
States,Iowa,2018,49,219,1,0,0.46,0.46,0
States,Kansas,2018,49,88,1,3,4.55,1.14,3.41
States,Kentucky,2018,49,568,12,0,2.11,2.11,0
States,Louisiana,2018,49,518,4,7,2.12,0.77,1.35
States,Maine,2018,49,50,3,0,6,6,0
States,Maryland,2018,49,255,9,1,3.92,3.53,0.39
States,Massachusetts,2018,49,720,39,4,5.97,5.42,0.56
States,Michigan,2018,49,1281,48,4,4.06,3.75,0.31
States,Minnesota,2018,49,425,2,0,0.47,0.47,0
States,Mississippi,2018,49,71,1,1,2.82,1.41,1.41
States,Missouri,2018,49,1235,42,1,3.48,3.4,0.08
States,Montana,2018,49,155,3,2,3.23,1.94,1.29
States,Nebraska,2018,49,164,11,0,6.71,6.71,0
States,Nevada,2018,49,27,2,0,7.41,7.41,0
States,New Hampshire,2018,49,X,X,X,X,X,X
States,New Jersey,2018,49,X,X,X,X,X,X
States,New Mexico,2018,49,288,17,0,5.9,5.9,0
States,New York,2018,49,2572,63,9,2.8,2.45,0.35
States,North Carolina,2018,49,466,12,4,3.43,2.58,0.86
States,North Dakota,2018,49,136,2,0,1.47,1.47,0
States,Ohio,2018,49,2291,112,8,5.24,4.89,0.35
States,Oklahoma,2018,49,296,6,1,2.36,2.03,0.34
States,Oregon,2018,49,558,18,0,3.23,3.23,0
States,Pennsylvania,2018,49,427,5,0,1.17,1.17,0
States,Rhode Island,2018,49,X,X,X,X,X,X
States,South Carolina,2018,49,435,9,0,2.07,2.07,0
States,South Dakota,2018,49,73,1,0,1.37,1.37,0
